outcome,formula,sample,decade,n_obs,p1,p5,p50,p95,p99,mean,sd
excess_z,"excess_min / baseline_mad, where baseline_mad = median absolute deviation (around baseline_med) of the same up-to-3 baseline candidates used for baseline_med. NaN when baseline_mad == 0 (never divided, to avoid a fabricated +-inf). CAVEAT (overseer cycle-2 finding): with at most 3 candidates, baseline_mad is itself a near-degenerate statistic that can be small by chance, so excess_z routinely reads as an enormous anomaly (p99 roughly 84, some cells beyond |z|=1000) for an excess_min value that is itself unremarkable. This column should NOT be read as a conventional z-score / cited as evidence of anomaly magnitude without first checking excess_min and baseline_mad directly; see excess_construction_diagnostics.csv for |z|>100 and |z|>1000 counts. Treat as NOT-FOR-USE pending a director-commissioned dispersion measure with a larger candidate pool.",US carriers' airborne time on US-touching international segments,1990,57526,-71.1849474630985,-14.528012517465744,-0.06742559684354457,16.449606686331954,83.36000000000067,-0.11140848613391803,207.42250205452046
excess_z,"excess_min / baseline_mad, where baseline_mad = median absolute deviation (around baseline_med) of the same up-to-3 baseline candidates used for baseline_med. NaN when baseline_mad == 0 (never divided, to avoid a fabricated +-inf). CAVEAT (overseer cycle-2 finding): with at most 3 candidates, baseline_mad is itself a near-degenerate statistic that can be small by chance, so excess_z routinely reads as an enormous anomaly (p99 roughly 84, some cells beyond |z|=1000) for an excess_min value that is itself unremarkable. This column should NOT be read as a conventional z-score / cited as evidence of anomaly magnitude without first checking excess_min and baseline_mad directly; see excess_construction_diagnostics.csv for |z|>100 and |z|>1000 counts. Treat as NOT-FOR-USE pending a director-commissioned dispersion measure with a larger candidate pool.",US carriers' airborne time on US-touching international segments,2000,117722,-63.19998494980425,-13.230769230769729,0.31687716816682854,20.25000000000043,98.03993497596551,2.7606860157215896,146.47427624634662
excess_z,"excess_min / baseline_mad, where baseline_mad = median absolute deviation (around baseline_med) of the same up-to-3 baseline candidates used for baseline_med. NaN when baseline_mad == 0 (never divided, to avoid a fabricated +-inf). CAVEAT (overseer cycle-2 finding): with at most 3 candidates, baseline_mad is itself a near-degenerate statistic that can be small by chance, so excess_z routinely reads as an enormous anomaly (p99 roughly 84, some cells beyond |z|=1000) for an excess_min value that is itself unremarkable. This column should NOT be read as a conventional z-score / cited as evidence of anomaly magnitude without first checking excess_min and baseline_mad directly; see excess_construction_diagnostics.csv for |z|>100 and |z|>1000 counts. Treat as NOT-FOR-USE pending a director-commissioned dispersion measure with a larger candidate pool.",US carriers' airborne time on US-touching international segments,2010,158831,-80.06742974006418,-16.53415582579027,-0.19358178053830502,15.390285697103465,75.5532000000286,-0.6304365030599024,255.4780649865665
excess_z,"excess_min / baseline_mad, where baseline_mad = median absolute deviation (around baseline_med) of the same up-to-3 baseline candidates used for baseline_med. NaN when baseline_mad == 0 (never divided, to avoid a fabricated +-inf). CAVEAT (overseer cycle-2 finding): with at most 3 candidates, baseline_mad is itself a near-degenerate statistic that can be small by chance, so excess_z routinely reads as an enormous anomaly (p99 roughly 84, some cells beyond |z|=1000) for an excess_min value that is itself unremarkable. This column should NOT be read as a conventional z-score / cited as evidence of anomaly magnitude without first checking excess_min and baseline_mad directly; see excess_construction_diagnostics.csv for |z|>100 and |z|>1000 counts. Treat as NOT-FOR-USE pending a director-commissioned dispersion measure with a larger candidate pool.",US carriers' airborne time on US-touching international segments,2020,57440,-66.9004166666592,-13.050355097964417,0.0510830873522254,15.821743618618417,75.35582111670291,-0.002647465949583048,146.80247881500816
excess_z,"excess_min / baseline_mad, where baseline_mad = median absolute deviation (around baseline_med) of the same up-to-3 baseline candidates used for baseline_med. NaN when baseline_mad == 0 (never divided, to avoid a fabricated +-inf). CAVEAT (overseer cycle-2 finding): with at most 3 candidates, baseline_mad is itself a near-degenerate statistic that can be small by chance, so excess_z routinely reads as an enormous anomaly (p99 roughly 84, some cells beyond |z|=1000) for an excess_min value that is itself unremarkable. This column should NOT be read as a conventional z-score / cited as evidence of anomaly magnitude without first checking excess_min and baseline_mad directly; see excess_construction_diagnostics.csv for |z|>100 and |z|>1000 counts. Treat as NOT-FOR-USE pending a director-commissioned dispersion measure with a larger candidate pool.",US carriers' airborne time on US-touching international segments,all,391519,-71.77304000011031,-14.791547954526763,0.01086048454468956,17.00393391229779,83.99578225595967,0.5575710601727778,205.94767508206277
bidir_sum,"excess_min_w(origin->dest, nation, year, month) + excess_min_w(dest->origin, nation, year, month) for the SAME nation/year/month; NaN if either directed leg is missing (never imputed).",US carriers' airborne time on US-touching international segments,1990,56200,-33.38634537205075,-17.181185674162275,-0.31111426460354785,15.40802940085932,32.68740491217251,-0.22578188836616356,19.50930852577508
bidir_sum,"excess_min_w(origin->dest, nation, year, month) + excess_min_w(dest->origin, nation, year, month) for the SAME nation/year/month; NaN if either directed leg is missing (never imputed).",US carriers' airborne time on US-touching international segments,2000,117000,-29.029339212251497,-12.483870967741897,1.0763664874551964,16.222814117186196,31.908895564205817,1.5006801159280196,13.19221107401043
bidir_sum,"excess_min_w(origin->dest, nation, year, month) + excess_min_w(dest->origin, nation, year, month) for the SAME nation/year/month; NaN if either directed leg is missing (never imputed).",US carriers' airborne time on US-touching international segments,2010,158922,-30.903766270514975,-14.711753800519034,-0.5008495773675747,11.730434782608768,27.09579977753086,-0.8210933448645522,9.749831030512741
bidir_sum,"excess_min_w(origin->dest, nation, year, month) + excess_min_w(dest->origin, nation, year, month) for the SAME nation/year/month; NaN if either directed leg is missing (never imputed).",US carriers' airborne time on US-touching international segments,2020,57324,-33.09802112059879,-13.410344827586073,0.2067383273288783,11.795454545454533,23.843567379614242,-0.09171849694283599,8.991766212926892
bidir_sum,"excess_min_w(origin->dest, nation, year, month) + excess_min_w(dest->origin, nation, year, month) for the SAME nation/year/month; NaN if either directed leg is missing (never imputed).",US carriers' airborne time on US-touching international segments,all,389446,-31.26242584964165,-14.305046805046686,0.06774193548392304,13.825568321523576,29.258287545787493,0.06969686109520812,12.603800791130901
